"Activity" "Measurement" "Mean Value"
"LAYING" "angle(tBodyAccJerkMean),gravityMean)" 0.0160126165105041
"LAYING" "angle(tBodyGyroJerkMean,gravityMean)" 0.00919134168691049
"LAYING" "angle(tBodyGyroMean,gravityMean)" 0.0227878882086008
"LAYING" "angle(X,gravityMean)" 0.520261132799383
"LAYING" "angle(Y,gravityMean)" -0.435944284216049
"LAYING" "angle(Z,gravityMean)" -0.42774881762037
"LAYING" "fBodyAcc_mean_X" -0.966812071347737
"LAYING" "fBodyAcc_mean_Y" -0.952678416904835
"LAYING" "fBodyAcc_mean_Z" -0.960018019984568
"LAYING" "fBodyAcc_std_X" -0.959031456047479
"LAYING" "fBodyAcc_std_Y" -0.942460971074588
"LAYING" "fBodyAcc_std_Z" -0.945643635450566
"LAYING" "fBodyAccJerk_mean_X" -0.980197655180041
"LAYING" "fBodyAccJerk_mean_Y" -0.971383628894033
"LAYING" "fBodyAccJerk_mean_Z" -0.976614530180041
"LAYING" "fBodyAccJerk_meanFreq_X" 0.105178707989746
"LAYING" "fBodyAccJerk_meanFreq_Y" 0.00485365387352315
"LAYING" "fBodyAccJerk_meanFreq_Z" 0.0699619900375761
"LAYING" "fBodyAccJerk_std_X" -0.982459599243827
"LAYING" "fBodyAccJerk_std_Y" -0.973051242896091
"LAYING" "fBodyAccJerk_std_Z" -0.980971915740741
"LAYING" "fBodyAccMag_mean" -0.94767271172428
"LAYING" "fBodyAccMag_meanFreq" 0.116228984859398
"LAYING" "fBodyAccMag_std" -0.934916672889661
"LAYING" "fBodyBodyAccJerkMag_mean" -0.974300115365226
"LAYING" "fBodyBodyAccJerkMag_std" -0.97318339962963
"LAYING" "fBodyBodyGyroJerkMag_mean" -0.977968240452675
"LAYING" "fBodyBodyGyroJerkMag_meanFreq" 0.165728127309943
"LAYING" "fBodyBodyGyroJerkMag_std" -0.976648216795267
"LAYING" "fBodyBodyGyroMag_mean" -0.95485445779321
"LAYING" "fBodyBodyGyroMag_std" -0.942115714415638
"LAYING" "fBodyGyro_mean_X" -0.962915035776389
"LAYING" "fBodyGyro_mean_Y" -0.967582058544239
"LAYING" "fBodyGyro_mean_Z" -0.964184423173868
"LAYING" "fBodyGyro_meanFreq_X" -0.0174605087394012
"LAYING" "fBodyGyro_meanFreq_Y" -0.139337310710561
"LAYING" "fBodyGyro_meanFreq_Z" 0.11328010251823
"LAYING" "fBodyGyro_std_X" -0.96974730340535
"LAYING" "fBodyGyro_std_Y" -0.961365374902263
"LAYING" "fBodyGyro_std_Z" -0.966725247165638
"LAYING" "tBodyAcc_mean_X" 0.268648643296245
"LAYING" "tBodyAcc_mean_Y" -0.0183177280685082
"LAYING" "tBodyAcc_mean_Z" -0.107435631519084
"LAYING" "tBodyAcc_std_X" -0.960932405036523
"LAYING" "tBodyAcc_std_Y" -0.943507185574074
"LAYING" "tBodyAcc_std_Z" -0.948069300024897
"LAYING" "tBodyAccJerk_mean_X" 0.0818473898341049
"LAYING" "tBodyAccJerk_mean_Y" 0.0111723565401199
"LAYING" "tBodyAccJerk_mean_Z" -0.00485976942268338
"LAYING" "tBodyAccJerk_std_X" -0.980381808513375
"LAYING" "tBodyAccJerk_std_Y" -0.971147567757202
"LAYING" "tBodyAccJerk_std_Z" -0.979476595910494
"LAYING" "tBodyAccJerkMag_mean" -0.97920875497428
"LAYING" "tBodyAccJerkMag_std" -0.974240573559671
"LAYING" "tBodyAccMag_mean" -0.941110656500514
"LAYING" "tBodyAccMag_std" -0.932160020511831
"LAYING" "tBodyGyro_mean_X" -0.0167253403420918
"LAYING" "tBodyGyro_mean_Y" -0.0934107103603086
"LAYING" "tBodyGyro_mean_Z" 0.125885141252623
"LAYING" "tBodyGyro_std_X" -0.967892432932613
"LAYING" "tBodyGyro_std_Y" -0.963192469243827
"LAYING" "tBodyGyro_std_Z" -0.963509228024691
"LAYING" "tBodyGyroJerk_mean_X" -0.101864299363374
"LAYING" "tBodyGyroJerk_mean_Y" -0.038198085408019
"LAYING" "tBodyGyroJerk_mean_Z" -0.0638498197415123
"LAYING" "tBodyGyroJerk_std_X" -0.976124813760288
"LAYING" "tBodyGyroJerk_std_Y" -0.980473581049383
"LAYING" "tBodyGyroJerk_std_Z" -0.984782526095679
"LAYING" "tBodyGyroJerkMag_mean" -0.982726626075103
"LAYING" "tBodyGyroJerkMag_std" -0.976754966054527
"LAYING" "tBodyGyroMag_mean" -0.938435972026749
"LAYING" "tBodyGyroMag_std" -0.940596109587449
"LAYING" "tGravityAcc_mean_X" -0.375021333827161
"LAYING" "tGravityAcc_mean_Y" 0.622270362899691
"LAYING" "tGravityAcc_mean_Z" 0.55561247407572
"LAYING" "tGravityAcc_std_X" -0.943319727953189
"LAYING" "tGravityAcc_std_Y" -0.963191706084414
"LAYING" "tGravityAcc_std_Z" -0.951868724368827
"SITTING" "angle(tBodyAccJerkMean),gravityMean)" 0.00245822441608329
"SITTING" "angle(tBodyGyroJerkMean,gravityMean)" -0.0332596860601407
"SITTING" "angle(tBodyGyroMean,gravityMean)" 0.013413369093063
"SITTING" "angle(X,gravityMean)" -0.706041819104671
"SITTING" "angle(Y,gravityMean)" 0.00613978992085537
"SITTING" "angle(Z,gravityMean)" -0.0895319535489927
"SITTING" "fBodyAcc_mean_X" -0.983091966702307
"SITTING" "fBodyAcc_mean_Y" -0.947917966193585
"SITTING" "fBodyAcc_mean_Z" -0.957031035425999
"SITTING" "fBodyAcc_std_X" -0.983747266764209
"SITTING" "fBodyAcc_std_Y" -0.932533490271469
"SITTING" "fBodyAcc_std_Z" -0.934336687975915
"SITTING" "fBodyAccJerk_mean_X" -0.985188769302195
"SITTING" "fBodyAccJerk_mean_Y" -0.973988189836804
"SITTING" "fBodyAccJerk_mean_Z" -0.97956197226224
"SITTING" "fBodyAccJerk_meanFreq_X" 0.185014353841248
"SITTING" "fBodyAccJerk_meanFreq_Y" -0.0583108773539561
"SITTING" "fBodyAccJerk_meanFreq_Z" 0.00299622469976759
"SITTING" "fBodyAccJerk_std_X" -0.98618495368036
"SITTING" "fBodyAccJerk_std_Y" -0.975750855391109
"SITTING" "fBodyAccJerk_std_Z" -0.983670821046708
"SITTING" "fBodyAccMag_mean" -0.952410413225098
"SITTING" "fBodyAccMag_meanFreq" 0.114105393420517
"SITTING" "fBodyAccMag_std" -0.942000150701182
"SITTING" "fBodyBodyAccJerkMag_mean" -0.978684370388295
"SITTING" "fBodyBodyAccJerkMag_std" -0.978154770658413
"SITTING" "fBodyBodyGyroJerkMag_mean" -0.985335632976927
"SITTING" "fBodyBodyGyroJerkMag_meanFreq" 0.177738590515189
"SITTING" "fBodyBodyGyroJerkMag_std" -0.984491355740011
"SITTING" "fBodyBodyGyroMag_mean" -0.964296113911086
"SITTING" "fBodyBodyGyroMag_std" -0.951641735873945
"SITTING" "fBodyGyro_mean_X" -0.977267261395611
"SITTING" "fBodyGyro_mean_Y" -0.972457592965672
"SITTING" "fBodyGyro_mean_Z" -0.961028716797974
"SITTING" "fBodyGyro_meanFreq_X" 0.0625911646973101
"SITTING" "fBodyGyro_meanFreq_Y" -0.218028334561964
"SITTING" "fBodyGyro_meanFreq_Z" -0.0126999936364434
"SITTING" "fBodyGyro_std_X" -0.982333273978616
"SITTING" "fBodyGyro_std_Y" -0.964033658897017
"SITTING" "fBodyGyro_std_Z" -0.961030235486775
"SITTING" "tBodyAcc_mean_X" 0.273059614418965
"SITTING" "tBodyAcc_mean_Y" -0.0126895730832639
"SITTING" "tBodyAcc_mean_Z" -0.105517003220878
"SITTING" "tBodyAcc_std_X" -0.983446221750141
"SITTING" "tBodyAcc_std_Y" -0.934880562895515
"SITTING" "tBodyAcc_std_Z" -0.938981580616207
"SITTING" "tBodyAccJerk_mean_X" 0.0758788492274395
"SITTING" "tBodyAccJerk_mean_Y" 0.00504690529678683
"SITTING" "tBodyAccJerk_mean_Z" -0.0024866605775919
"SITTING" "tBodyAccJerk_std_X" -0.984997226336522
"SITTING" "tBodyAccJerk_std_Y" -0.973883160517726
"SITTING" "tBodyAccJerk_std_Z" -0.982296486972425
"SITTING" "tBodyAccJerkMag_mean" -0.98244444337085
"SITTING" "tBodyAccJerkMag_std" -0.978907079240293
"SITTING" "tBodyAccMag_mean" -0.95464392144063
"SITTING" "tBodyAccMag_std" -0.939324188353517
"SITTING" "tBodyGyro_mean_X" -0.0384313168439482
"SITTING" "tBodyGyro_mean_Y" -0.0721208098964153
"SITTING" "tBodyGyro_mean_Z" 0.0777771461510523
"SITTING" "tBodyGyro_std_X" -0.981022213218908
"SITTING" "tBodyGyro_std_Y" -0.966708127310073
"SITTING" "tBodyGyro_std_Z" -0.958007496724817
"SITTING" "tBodyGyroJerk_mean_X" -0.0956521058184581
"SITTING" "tBodyGyroJerk_mean_Y" -0.040779780524009
"SITTING" "tBodyGyroJerk_mean_Z" -0.0507555280236061
"SITTING" "tBodyGyroJerk_std_X" -0.985705127658976
"SITTING" "tBodyGyroJerk_std_Y" -0.986502338745076
"SITTING" "tBodyGyroJerk_std_Z" -0.983805514068655
"SITTING" "tBodyGyroJerkMag_mean" -0.987880071435003
"SITTING" "tBodyGyroJerkMag_std" -0.98460762855937
"SITTING" "tBodyGyroMag_mean" -0.946724138930782
"SITTING" "tBodyGyroMag_std" -0.951199015615082
"SITTING" "tGravityAcc_mean_X" 0.879731193472144
"SITTING" "tGravityAcc_mean_Y" 0.108713540331707
"SITTING" "tGravityAcc_mean_Z" 0.153774088505577
"SITTING" "tGravityAcc_std_X" -0.979682230393922
"SITTING" "tGravityAcc_std_Y" -0.957672740350591
"SITTING" "tGravityAcc_std_Z" -0.947357438593134
"STANDING" "angle(tBodyAccJerkMean),gravityMean)" 0.0103969442658132
"STANDING" "angle(tBodyGyroJerkMean,gravityMean)" 0.0159570353501574
"STANDING" "angle(tBodyGyroMean,gravityMean)" 0.00461412323196747
"STANDING" "angle(X,gravityMean)" -0.774142758142707
"STANDING" "angle(Y,gravityMean)" 0.209818426816789
"STANDING" "angle(Z,gravityMean)" 0.0317429093558841
"STANDING" "fBodyAcc_mean_X" -0.98162230498426
"STANDING" "fBodyAcc_mean_Y" -0.943132376852046
"STANDING" "fBodyAcc_mean_Z" -0.957359650828961
"STANDING" "fBodyAcc_std_X" -0.985859786930745
"STANDING" "fBodyAcc_std_Y" -0.931132967334732
